"ENV","GEN","REP","YIELD","BIOMASS","PROTEIN"
"E1","G1","R1",46.85,112.16,13.62
"E1","G1","R2",37.18,111.49,12.05
"E1","G1","R3",41.82,95.86,12.46
"E1","G2","R1",43.16,120.36,13.58
"E1","G2","R2",42.02,122.06,13.77
"E1","G2","R3",39.47,116.39,13.46
"E1","G3","R1",47.56,127.58,12.11
"E1","G3","R2",39.53,112.73,11.9
"E1","G3","R3",50.09,106.32,14.51
"E1","G4","R1",39.69,124.33,13.26
"E1","G4","R2",46.52,111.89,13.09
"E1","G4","R3",51.43,134.44,12.88
"E2","G1","R1",33.06,115.69,11.81
"E2","G1","R2",38.61,126.56,13.61
"E2","G1","R3",39.33,123.22,12.78
"E2","G2","R1",43.18,112.16,12.82
"E2","G2","R2",38.58,135.76,13.93
"E2","G2","R3",26.72,126.43,13.82
"E2","G3","R1",27.8,120.9,14.39
"E2","G3","R2",46.6,122.77,12.52
"E2","G3","R3",38.47,126.79,13.65
"E2","G4","R1",31.09,120.9,14.39
"E2","G4","R2",39.14,90.07,11.89
"E2","G4","R3",46.07,122.85,12.14
"E3","G1","R1",49.48,116.33,11.87
"E3","G1","R2",37.85,121.85,11.54
"E3","G1","R3",38.71,125.82,13.08
"E3","G2","R1",31.18,134,13.65
"E3","G2","R2",42.3,112.73,14.2
"E3","G2","R3",36.8,133.03,14.04
"E3","G3","R1",42.28,123.36,12
"E3","G3","R2",43.52,130.39,14.85
"E3","G3","R3",45.18,129.21,12.33
"E3","G4","R1",36.96,127.21,13.11
"E3","G4","R2",42.52,109.57,12.58
"E3","G4","R3",31.41,119.1,12.88
